,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,target
0,0.171356359,0.416500921,0.325523303,0.274371256,0.264432642,0.506624551,0.154749611,0.704831286,0.509784877,0.147639272,0.119144068,0.127010047,2
0,0.744731118,0.282072203,0.07517278,0.420940154,0.299236578,0.153166754,0.128332507,0.591311783,0.521495267,0.478977313,0.239181131,0.220952464,2
0,0.034894386,0.062893891,0.080558796,0.068696368,0.83350161,1.795560937,0.139119594,0.465690782,0.137027028,0.070944592,0.096024431,1.033999222,2
0,0.361607361,0.439264394,0.552072576,0.247224699,0.294173016,0.854103832,0.144301093,0.022151828,0.155828779,0.284931039,0.333761753,0.157507438,2
0,0.110202679,0.181402446,0.286452031,0.067115333,0.48134282,0.227987838,0.024362509,0.024362509,0.261099664,0.067159527,0.087199151,0.092764356,2
0,0.006153988,0.072847367,0.024494537,0.038748269,0.056071724,0.027430177,1.448921965,0.074876813,0.339393306,0.326782005,0.531791706,0.057282517,2
0,0.424344644,0.042277166,0.599339118,0.066282116,0.465074673,0.247106525,0.151356157,0.072832957,0.173714361,0.164252722,0.241430897,0.140768935,2
0,0.051861308,0.0649575,0.23246613,0.039110966,0.574632508,0.105945438,0.087908466,0.064628129,0.077698894,0.030177644,0.006867641,0.069550345,2
0,0.421938131,0.665119455,0.725156775,0.483506065,0.307422069,1.01000297,1.115831529,0.248891947,0.327448783,0.563353189,0.310489196,1.263227997,2
0,0.255186913,0.230271681,0.257064069,0.067231255,0.40093134,0.221141586,0.52751536,0.78500424,0.2166527,0.499087709,0.066184016,0.094182772,2
0,0.005848189,0.271758815,0.030964062,0.025138947,0,1.000220329,0.196772818,0.290857386,0.326212886,0.453321348,0.174612805,0.556055228,2
0,0.389813779,0.112576801,0.169822645,0.204473919,0.113713867,1.477488895,0.206295493,0.769020897,0.865794217,0.834777034,0.003135992,0.908801161,2
0,0.014841212,0.363349206,0.914420742,0.225465211,0.177140878,0.919992284,0.159044811,0.173993449,0.613324999,0.770446021,0.116575902,0.898504609,2
0,0.024518041,0.160124445,0.313864854,0.617174652,0.064894973,0.30672358,0.880485282,2.348756876,0.127827955,0.125952571,0.012551442,0.055194486,2
0,0.510585479,0.374330691,0.314014814,0.359170589,0.221285578,0.368003725,0.161485434,0.118891911,0.185335295,0.222337187,0.222068532,0.211020322,2
0,0.048826267,0.059040727,0.047300177,0.054637717,0.112041478,0.052559326,0.092619895,0.176916386,0.042023093,0.057097569,0.026814339,0.027214851,2
0,0.583597387,0.466959576,0.246244548,0.232263373,0.653362546,0.391620341,0.394769355,0.243450689,0.124316439,0.213238698,0.316129733,0.341370347,2
0,0.401139259,0.23945564,0.14020416,0.216129317,0.044362028,0.427211564,0.668939143,0.411560676,0.292849146,0.036578658,0.040475632,0.051521078,2
0,0.011538481,1.312466266,0.182434508,0.010486746,0.280599362,0.127351209,0.082319257,0.394166703,0.210934401,0.916179368,0.043718998,1.196693913,2
0,0.182935885,0.054064367,0.068150712,0.032715153,0.270317044,0.068407351,0.468438939,0.613916571,0.199277921,0.071954243,0.351234831,0.087613009,2
0,0.151265785,0,0.162175109,0.176403157,0.151265785,0.176403157,0.11639212,0.315886395,0.077809383,0.055639149,0.158842653,1.714618426,2
0,0.18150028,0.198738267,0.128534579,0.115206178,0.133616546,0.215271743,0.36093607,0.512656267,0.496792771,0.402775161,0.221744085,0.169280089,2
0,0.040769842,0.1858031,0.160422488,0.149410416,0.116659861,1.192101815,1.42513999,0.106541163,0.111218232,0.084057442,0.044058414,0.120011391,2
0,0.128724465,0.246065463,0.255946089,0.225073487,0.273657737,0.24751763,0.287066463,0.244302008,0.260360671,0.175911835,0.051867883,1.06813875,2
0,0.090708233,0.050152113,0.05788722,0.066891243,0.113395322,0.018288903,0.201947557,0.230881205,0.33445846,0.033879965,0.03243354,0.030370007,2
